p  P_flow  avg_s_max
0.0  0.000000  0.000000
0.01  0.000000  0.653000
0.02  0.000000  0.925500
0.03  0.000000  1.100600
0.04  0.000000  1.242600
0.05  0.000000  1.380600
0.06  0.000000  1.527400
0.07  0.000000  1.681400
0.08  0.000000  1.830800
0.09  0.000000  1.985400
0.1  0.000000  2.176900
0.11  0.000000  2.336000
0.12  0.000000  2.506800
0.13  0.000000  2.674500
0.14  0.000000  2.860900
0.15  0.000000  3.052400
0.16  0.000000  3.255500
0.17  0.000000  3.447000
0.18  0.000000  3.672000
0.19  0.000100  3.871700
0.2  0.000000  4.130300
0.21  0.000100  4.322000
0.22  0.000100  4.579200
0.23  0.000000  4.854000
0.24  0.000000  5.079800
0.25  0.000000  5.386400
0.26  0.000300  5.662500
0.27  0.000400  6.008700
0.28  0.000400  6.341000
0.29  0.000800  6.704100
0.3  0.000500  7.114200
0.31  0.000900  7.432100
0.32  0.001500  7.871200
0.33  0.002800  8.340900
0.34  0.004700  8.814100
0.35000000000000003  0.004400  9.318200
0.36  0.008100  9.936300
0.37  0.007200  10.375200
0.38  0.011500  11.080500
0.39  0.013800  11.679000
0.4  0.022000  12.357700
0.41000000000000003  0.026900  13.217100
0.42  0.033800  13.991100
0.43  0.041500  14.642400
0.44  0.053200  15.693300
0.45  0.064400  16.712100
0.46  0.083000  17.674500
0.47000000000000003  0.095900  18.766500
0.48  0.117900  19.951400
0.49  0.144700  21.220800
0.5  0.170000  22.513700
0.51  0.194400  23.868900
0.52  0.225600  25.502000
0.53  0.257400  26.963900
0.54  0.303400  28.837300
0.55  0.346400  30.270200
0.56  0.385600  32.410500
0.5700000000000001  0.421600  34.095900
0.58  0.469700  36.046800
0.59  0.513300  38.146200
0.6  0.566000  40.451100
0.61  0.607400  42.458300
0.62  0.644700  44.580800
0.63  0.686100  46.731700
0.64  0.727800  48.904800
0.65  0.777200  51.491800
0.66  0.804000  53.745400
0.67  0.836400  55.584400
0.68  0.870200  58.050800
0.6900000000000001  0.890700  60.105700
0.7000000000000001  0.909100  62.139300
0.71  0.924700  64.077900
0.72  0.941000  65.795500
0.73  0.959100  68.083400
0.74  0.969000  69.483900
0.75  0.972400  71.282500
0.76  0.980300  72.847500
0.77  0.985900  74.243900
0.78  0.993100  75.842300
0.79  0.995000  77.131100
0.8  0.996800  78.547200
0.81  0.997000  79.842200
0.8200000000000001  0.997900  80.992600
0.8300000000000001  0.998700  82.250300
0.84  0.999300  83.411600
0.85  0.999700  84.451700
0.86  0.999800  85.629000
0.87  0.999900  86.715400
0.88  0.999900  87.823800
0.89  0.999900  88.874000
0.9  1.000000  89.871300
0.91  1.000000  90.934400
0.92  1.000000  91.906700
0.93  1.000000  92.957100
0.9400000000000001  1.000000  93.947500
0.9500000000000001  1.000000  94.993300
0.96  1.000000  95.993900
0.97  1.000000  97.000800
0.98  1.000000  97.989300
0.99  1.000000  98.997300
