s  n(s, p, L)
9  0.015592252924476418
1  0.4058147658189277
5  0.03695170712130446
2  0.11396168081216464
3  0.07402232560904916
29  0.003686252359647428
6  0.029787297293280023
16  0.007030634540779167
34  0.003968666854942997
21  0.004652407211974375
31  0.0031214233690562898
4  0.05049273897468674
47  0.003329518260326709
43  0.0029727841610059902
53  0.0032106068938864696
8  0.019442008412979175
11  0.011266851970212703
44  0.002809281032150661
22  0.004652407211974375
18  0.005767201272351621
7  0.023663361921607683
55  0.002422819091219882
24  0.004830774261634734
19  0.00599016008442707
42  0.0033889739435468288
49  0.0029133284777858705
37  0.0034484296267669485
28  0.003611932755622278
27  0.003894347250917847
17  0.006109071450867309
15  0.007699510977005514
32  0.003938939013332937
14  0.008353523492426832
64  0.0011445219019873061
26  0.003552477072402158
12  0.009869643414539888
10  0.014061269081558334
20  0.005083460915320243
30  0.0034335657059619187
13  0.009349406186363839
70  0.000297278416100599
36  0.002601186140880241
46  0.002690369665710421
25  0.0038348915676977274
57  0.002645777903295331
45  0.0032403347354965292
23  0.004310537033458686
38  0.0031065594482512595
56  0.0025565943784651517
54  0.0024971386952450316
62  0.0017390787341885043
35  0.00298764808181102
59  0.0019620375462639536
33  0.0034484296267669485
40  0.0028538727945657504
66  0.0008323795650816773
60  0.0018728540214337738
65  0.0009958826939370066
52  0.0028687367153707806
58  0.0022593159623645527
48  0.00294305631939593
41  0.0029133284777858705
72  0.0001783670496603594
61  0.0021849963583394027
69  0.0004756454657609584
39  0.00304710376503114
67  0.0007283321194464676
51  0.0028687367153707806
50  0.003329518260326709
63  0.0016053034469432348
68  0.0004905093865659884
71  0.00020809489127041931
74  4.459176241508985e-05
73  5.94556832201198e-05
75  1.486392080502995e-05
76  1.486392080502995e-05
