s  n(s, p, L)
1  0.39718958252120806
71  0.0013550890089287372
2  0.10656939726383398
50  0.004510775742050454
5  0.03415566817025858
3  0.06933229381299771
7  0.020326335133931058
57  0.0051604759518108076
52  0.004455087152642424
4  0.04714967236546565
56  0.004585027194594494
9  0.013922147352007573
19  0.004900595867906666
14  0.006998199402275807
11  0.010450891945573686
17  0.0052532902674908575
20  0.004065267026786211
60  0.004937721594178686
21  0.004362272836962373
6  0.026062259842958176
28  0.0035269439958419187
8  0.016632325369865048
33  0.0035083811327059084
22  0.004046704163650202
59  0.004733530099682575
18  0.005141913088674797
45  0.0036383211746579794
40  0.002970058101761616
29  0.003434129680161868
12  0.00944849733622914
13  0.007907779695940302
23  0.0034898182695698985
47  0.004306584247554343
25  0.0035455068589779286
10  0.011713166638822372
48  0.004399398563234394
42  0.0038610755322901003
64  0.004009578437378181
24  0.003564069722113939
15  0.0063856249187874735
65  0.003601195448385959
36  0.002970058101761616
53  0.004269458521282322
55  0.004083829889922222
44  0.00378682407974606
66  0.003359878227617828
41  0.003601195448385959
49  0.004046704163650202
61  0.004993410183586716
26  0.0031928124593937368
63  0.0040281413005141915
51  0.004102392753058232
62  0.004603590057730505
46  0.003434129680161868
30  0.0038796383954261106
37  0.002970058101761616
38  0.0031556867331217165
68  0.0025431122496333836
43  0.0036940097640660095
58  0.004585027194594494
54  0.004325147110690353
16  0.0063856249187874735
39  0.0031556867331217165
31  0.0028958066492175754
32  0.0031185610068496963
69  0.0020047892186890906
34  0.003378441090753838
67  0.003025746691169646
35  0.003081435280577676
27  0.003062872417441666
76  0.0001485029050880808
74  0.00048263444153626254
72  0.0010766460618885857
70  0.0019676634924170704
75  0.00020419149449611108
73  0.00048263444153626254
77  0.0001299400419520707
80  3.71257262720202e-05
78  7.42514525440404e-05
79  5.5688589408030296e-05
